"ticket_no","name","ticket_title","description_plain","comments","solution"
T001768,iApp,Access control,controller is not working properly.,"Take remote access to check the IP ping, update the firmware, check the port, and ensure the server IP and device are online.","Take remote access to check the IP ping, update the firmware, check the port, and ensure the server IP and device are online."
T001769,iApp,shift,attendance policy shift roster,Guide how to add shift master then add shift master and then how to insert and remove week off and also check leave group and also add coff for trainee,Guide how to add shift master then add shift master and then how to insert and remove week off and also check leave group and also add coff for trainee
T001770,No Touch Switch,Face Scribe out of order,One of facescibe system of LVMP corridor not working for a long period of time.,We checked the device ping which is not coming so suggested them to contact with their IT team.,We checked the device ping which is not coming so suggested them to contact with their IT team.
T001770,No Touch Switch,Face Scribe out of order,One of facescibe system of LVMP corridor not working for a long period of time.,suggested them to checked from network side.,We checked the device ping which is not coming so suggested them to contact with their IT team.
T001771,iApp,Iapp not working ,IAPP is not open and is showing a server error.,"Upon taking a remote check, we found that the SQL Express and SQL Access services were not running; this, as we ascertained, was the cause for the connection error that was displayed when the software was opened.","We coordinated with the IT team and were facing an error when starting the service, so the IT team started the service with administrator rights and now the software is running properly."
T001772,No Touch Switch,FACE TIMING,"Machine timing automatically change again, could you please correct it now.",Assigning to Trusha,"Checked through iapp > ACM > Device Operations > Databsae > Readers Opened webportal, Udpated timezone in System Parameters > date & time"
T001772,No Touch Switch,FACE TIMING,"Machine timing automatically change again, could you please correct it now.","Checked through iapp > ACM > Device Operations > Databsae > Readers
Opened webportal,
Udpated timezone in System Parameters > date & time","Checked through iapp > ACM > Device Operations > Databsae > Readers Opened webportal, Udpated timezone in System Parameters > date & time"
T001773,iApp,Card or Finger in device and approve adn reject in pending application schedular,Client require the following configuration where Card or Finger in device must be enable in it and Approve/Reject in pending application schedular.,Client is working over it and will share the update.,"We found that there is no such function avaiable in the in bulk for approve and reject over mail.
Also, we had update the Card or finger facility in the device through updateing the firmware in the system and guided clinet to enable the Infinity option for all the user in device"
T001773,iApp,Card or Finger in device and approve adn reject in pending application schedular,Client require the following configuration where Card or Finger in device must be enable in it and Approve/Reject in pending application schedular.,Client is working over it and will share the update.,"We found that there is no such function avaiable in the in bulk for approve and reject over mail.
Also, we had update the Card or finger facility in the device through updateing the firmware in the system and guided clinet to enable the Infinity option for all the user in device"
T001773,iApp,Card or Finger in device and approve adn reject in pending application schedular,Client require the following configuration where Card or Finger in device must be enable in it and Approve/Reject in pending application schedular.,"We found that there is no such function avaiable in the in bulk for approve and reject over mail.
Also, we had update the Card or finger facility in the device through updateing the firmware in the system and guided clinet to enable the Infinity option for all the user in device","We found that there is no such function avaiable in the in bulk for approve and reject over mail.
Also, we had update the Card or finger facility in the device through updateing the firmware in the system and guided clinet to enable the Infinity option for all the user in device"
T001774,iApp,Data not downloading,We can assure you that as per the biometric server logs we do not have any biometric punch for 30-Sep-2023 12.40 AM as per the below trail mail. Even there is the biometric punch it will not be considered for 29-Sep-2023 out punch. It will be considered as the in punch for 30-Sep-2023 as the day was changed.,Mailed to client to share the remote.,"As per remote session on Today, we checked all the logs for the punch.  We found other punches before and after mentioned one, thus we may say that it could be an unsuccessful punch.  To verify this, you are requested to make some more punch, record on mobile if possible to check the message."
T001774,iApp,Data not downloading,We can assure you that as per the biometric server logs we do not have any biometric punch for 30-Sep-2023 12.40 AM as per the below trail mail. Even there is the biometric punch it will not be considered for 29-Sep-2023 out punch. It will be considered as the in punch for 30-Sep-2023 as the day was changed.,"Data not download for one employee. We checked all log files but there is no transaction on 30/09/2023 at 12:40. We also shown them all logs files to and suggested them there is no successful transaction on 30/09/2023 at 12:40 else all other transactions are there.

One device is not showing active we checked the ping which is not coming suggested them to check the network connection of device.","As per remote session on Today, we checked all the logs for the punch.  We found other punches before and after mentioned one, thus we may say that it could be an unsuccessful punch.  To verify this, you are requested to make some more punch, record on mobile if possible to check the message."
T001775,iApp,Device not working ,Ranipool device is not working,We have checked the devices and did the activity of device online and sync the user and 3 device is not working so we suggested you send the device for the repairing at our office. ,We have checked the devices and did the activity of device online and sync the user and 3 device is not working so we suggested you send the device for the repairing at our office. 
T001776,NetXsControl Ent.,Biomini installation ,Biomini installation,"issue has been resolved 
restore old database to old pc also install new software in new server now software working ","issue has been resolved 
restore old database to old pc also install new software in new server now software working "
T001777,iApp,Iapp not working ,Since many days’ time to time spectra attendance system is not working properly. You are requested please share down down time before any up- dation.,"As confirm by Mr Jignesh Prajapati, there is some activity plan by Corporate IT team hence iApp application is not working. ","As confirm by Mr Jignesh Prajapati, there is some activity plan by Corporate IT team hence iApp application is not working. "
T001778,iApp,Bio device issue - EURONET A&B Wing - HIGH PRIORITY,The device is down again and not able to Attendance reflect on portal. Please have Urgent assistance on this.,"Checked connectivity from local computer and server.
Restarted Services.
Devicesa are online and transactions are getting downloaded.",Checked connectivity from local computer and server. Restarted Services. Devicesa are online and transactions are getting downloaded.
T001779,iApp,employee can't punch in device ,employee punch time finger not match,forwarding to the L2,The latest firmware update has resolved the issue of fingerprints not matching.
T001779,iApp,employee can't punch in device ,employee punch time finger not match,"Once an employee had synced with a device, and the issue remained unresolved, they were to re-assign the device access and check with Dharmendra and Jatin Sir. As a device firmware update regarding Master Card was required, they then needed to ensure they had the Master Card before the firmware update on the device could be completed.",The latest firmware update has resolved the issue of fingerprints not matching.
T001779,iApp,employee can't punch in device ,employee punch time finger not match,"Once the client receives the Master Card, they should update the firmware on the device.",The latest firmware update has resolved the issue of fingerprints not matching.
T001779,iApp,employee can't punch in device ,employee punch time finger not match,as per discussed with basant they will be receive the master card then after informed to me ,The latest firmware update has resolved the issue of fingerprints not matching.
T001779,iApp,employee can't punch in device ,employee punch time finger not match,as per discussed with basant they will be receive the master card then after informed to me ,The latest firmware update has resolved the issue of fingerprints not matching.
